beta,TRAIN_loss,TRAIN_loss_recon,TRAIN_loss_kl,epoch,step,VAL_loss,VAL_loss_recon,VAL_loss_kl
0.0,440.0285473044165,440.0285473044165,16.721100324091058,0,49,,,
0.0,425.55442250070536,425.55442250070536,19.17681209907711,0,99,,,
0.0,378.7336091452439,378.7336091452439,27.324915567238875,0,149,,,
0.0,416.97439840549634,416.97439840549634,38.548783388376314,0,199,,,
0.0,370.0912130050523,370.0912130050523,34.9775804121962,0,249,,,
0.0,487.1405128900444,487.1405128900444,46.48162486362246,0,299,,,
0.0,434.06332762934454,434.06332762934454,50.86546582669992,0,349,,,
0.0,471.14758565841726,471.14758565841726,57.81453417914068,0,399,,,
0.0,331.9230455823019,331.9230455823019,44.25501005899382,0,449,,,
0.0,443.99551439219874,443.99551439219874,66.28574120724417,0,499,,,
0.0,278.9974027085634,278.9974027085634,33.75145641662809,0,549,,,
0.0,331.56187905372667,331.56187905372667,43.39702917950132,0,599,,,
0.0,398.074335872376,398.074335872376,55.74016732020859,0,649,,,
0.0,398.86271304717934,398.86271304717934,61.32374312492996,0,699,,,
0.0,452.14953477999774,452.14953477999774,69.11902017011238,0,749,,,
0.0,,,,0,750,403.37607860020233,403.37607860020233,66.20879653794424
0.0,301.57893496548894,301.57893496548894,42.859955670122375,1,799,,,
0.0,347.66880252711746,347.66880252711746,52.20041045554897,1,849,,,
0.0,461.75902860685153,461.75902860685153,75.10704958655481,1,899,,,
0.0,264.9956469696535,264.9956469696535,48.47233063801062,1,949,,,
0.0,370.1632487809166,370.1632487809166,70.80148822846414,1,999,,,
0.0,309.07629698219716,309.07629698219716,58.89137910024972,1,1049,,,
0.0,469.54551001286427,469.54551001286427,129.82992657074462,1,1099,,,
0.0,528.6915632373914,528.6915632373914,92.40088206111875,1,1149,,,
0.0,215.16297678648075,215.16297678648075,45.04945130350218,1,1199,,,
0.0,347.04960809785933,347.04960809785933,59.47838105978789,1,1249,,,
0.0,289.60799305030184,289.60799305030184,63.63543115911497,1,1299,,,
0.0,429.27190745292216,429.27190745292216,101.06459734180979,1,1349,,,
0.0,243.39859502624708,243.39859502624708,52.811386240727415,1,1399,,,
0.0,314.76707661298553,314.76707661298553,72.76722938488894,1,1449,,,
0.0,531.2806716109474,531.2806716109474,153.18077993270174,1,1499,,,
0.0,,,,1,1501,318.09208640234806,318.09208640234806,78.50601669039045
0.0,287.0571170991542,287.0571170991542,62.18670939673625,2,1549,,,
0.0,1294.2240925169801,1294.2240925169801,749.024817557902,2,1599,,,
0.0,213.34884994496173,213.34884994496173,64.24051719407713,2,1649,,,
0.0,238.83947466879164,238.83947466879164,60.62387068662335,2,1699,,,
0.0,362.56237689141324,362.56237689141324,86.51964829476987,2,1749,,,
0.0,301.25912736760074,301.25912736760074,55.913188660681925,2,1799,,,
0.0,178.2411396717439,178.2411396717439,66.0282463591172,2,1849,,,
0.0,376.07427999776814,376.07427999776814,84.93321776288943,2,1899,,,
0.0,225.72290072152794,225.72290072152794,88.56065835793763,2,1949,,,
0.0,197.34802611302612,197.34802611302612,58.99520835729545,2,1999,,,
0.0,232.1525428137498,232.1525428137498,68.12493058544078,2,2049,,,
0.0,355.8507301111293,355.8507301111293,144.58921521036785,2,2099,,,
0.0,250.19837662788512,250.19837662788512,107.98145406389332,2,2149,,,
0.0,469.6871859409393,469.6871859409393,97.48821942202714,2,2199,,,
0.0,196.9214115620817,196.9214115620817,73.68851912550701,2,2249,,,
0.0,,,,2,2252,279.0806303977967,279.0806303977967,92.18587833677023
0.0,207.29041540146477,207.29041540146477,77.15070097681665,3,2299,,,
0.0,248.82508878341596,248.82508878341596,122.9763626922192,3,2349,,,
0.0,339.1013048949769,339.1013048949769,158.72725300684726,3,2399,,,
0.0,180.6901402673,180.6901402673,68.25420819098682,3,2449,,,
0.0,229.75303372120175,229.75303372120175,89.66727921160967,3,2499,,,
0.0,169.37649936009853,169.37649936009853,66.0335719282974,3,2549,,,
0.0,139.64163898312245,139.64163898312245,54.333900634123204,3,2599,,,
0.0,331.8297609619039,331.8297609619039,108.65855278524529,3,2649,,,
0.0,218.45683262055093,218.45683262055093,68.02944593704288,3,2699,,,
0.0,310.37486535270875,310.37486535270875,159.806086342735,3,2749,,,
0.0,196.52570064089224,196.52570064089224,70.9308425974466,3,2799,,,
0.0,165.48871055350244,165.48871055350244,87.65636815231812,3,2849,,,
0.0,169.67328856513387,169.67328856513387,57.4154906972672,3,2899,,,
0.0,135.6241671149711,135.6241671149711,60.63877022786396,3,2949,,,
0.0,174.35553687022082,174.35553687022082,67.26609134566398,3,2999,,,
0.0,,,,3,3003,243.37011945452005,243.37011945452005,101.38865001678467
0.0,409.38308156919067,409.38308156919067,207.64092789038432,4,3049,,,
0.0,347.97178986587517,347.97178986587517,162.6074196273093,4,3099,,,
0.0,176.23779506954048,176.23779506954048,79.61302335299784,4,3149,,,
0.0,146.556191835014,146.556191835014,71.32483812782777,4,3199,,,
0.0,146.89618072167625,146.89618072167625,61.674918499367266,4,3249,,,
0.0,310.5903385055182,310.5903385055182,96.2744631645007,4,3299,,,
0.0,194.6858333871525,194.6858333871525,146.33649355012983,4,3349,,,
0.0,242.12904553157287,242.12904553157287,102.6213188522486,4,3399,,,
0.0,195.63552015932902,195.63552015932902,84.64585559139954,4,3449,,,
0.0,184.98505369054377,184.98505369054377,102.4429277582864,4,3499,,,
0.0,167.60823909496474,167.60823909496474,72.75737658626761,4,3549,,,
0.0,143.1379861244688,143.1379861244688,83.54906795260598,4,3599,,,
0.0,136.25637615022123,136.25637615022123,63.628827327608725,4,3649,,,
0.0,130.59170962720404,130.59170962720404,77.48909572263402,4,3699,,,
0.0,635.5249707871353,635.5249707871353,175.59791984517852,4,3749,,,
0.0,,,,4,3754,231.11329326220923,231.11329326220923,115.51080301012311
0.0,103.07943167758415,103.07943167758415,57.07717440730851,5,3799,,,
0.0,189.49224811651368,189.49224811651368,125.86126742340332,5,3849,,,
0.0,216.94890436806662,216.94890436806662,95.42408893712403,5,3899,,,
0.0,130.54128946794594,130.54128946794594,93.23996583764107,5,3949,,,
0.0,145.678976939642,145.678976939642,112.1815220907895,5,3999,,,
0.0,150.8350419954093,150.8350419954093,75.16024670845925,5,4049,,,
0.0,159.17872150343055,159.17872150343055,114.38808997287975,5,4099,,,
0.0,221.78357620765556,221.78357620765556,167.46098083308118,5,4149,,,
0.0,281.14385490715347,281.14385490715347,119.28576452650324,5,4199,,,
0.0,250.09627303706827,250.09627303706827,116.88578191839518,5,4249,,,
0.0,151.93094268407174,151.93094268407174,83.99810226248628,5,4299,,,
0.0,144.8570474338642,144.8570474338642,82.41754044643167,5,4349,,,
0.0,121.07889723303299,121.07889723303299,71.30360016315134,5,4399,,,
0.0,105.01949105212944,105.01949105212944,82.70942779227855,5,4449,,,
